ID,MenuItemID,OrderID
1,3,1
2,3,1
3,5,2
4,4,2
5,5,2
6,5,2
7,3,2
8,1,3
9,5,3
10,5,3
11,2,3
12,5,3
13,2,4
14,1,4
15,3,4
16,3,4
17,4,5
18,5,5
19,2,5
20,2,6
21,2,7
22,3,7
23,2,7
24,1,7
25,5,8
26,4,8
27,4,8
28,1,9
29,2,9
30,2,9
31,4,10
32,5,10
33,4,10
34,3,10
35,1,10
36,1,11
37,5,11
38,5,11
39,2,12
40,3,12
41,1,12
42,4,12
43,3,12
44,4,13
45,5,13
46,2,13
47,5,14
48,1,14
49,1,15
50,1,16
51,4,17
52,3,18
53,3,18
54,5,18
55,1,19
56,4,19
57,1,20
58,1,20
59,3,20
60,4,20
61,2,20
62,1,21
63,2,21
64,5,21
65,2,22
66,3,22
67,5,22
68,2,23
69,3,24
70,1,24
71,4,24
72,5,24
73,5,25
74,2,26
75,5,27
76,4,27
77,1,27
78,1,28
79,3,29
80,3,29
81,4,29
82,4,30
83,3,31
84,1,31
85,1,32
86,1,32
87,4,32
88,4,32
89,5,33
90,2,33
91,4,33
92,3,33
93,5,34
94,3,34
95,5,34
96,2,34
97,1,35
98,2,35
99,1,35
100,1,35
101,3,35
102,2,36
103,1,36
104,1,36
105,4,36
106,4,37
107,3,38
108,2,38
109,1,38
110,1,38
111,1,39
112,4,39
113,5,39
114,1,39
115,2,39
116,1,40
117,3,40
118,2,41
119,2,42
120,5,42
121,1,42
122,5,42
123,5,42
124,3,43
125,1,44
126,5,44
127,3,45
128,2,45
129,5,45
130,3,45
131,2,45
132,4,46
133,4,46
134,2,46
135,4,46
136,3,46
137,2,47
138,1,48
139,2,48
140,2,48
141,1,48
142,3,48
143,4,49
144,4,49
145,2,50
146,1,50
147,5,50
148,2,50
149,1,50
150,5,51
151,4,51
152,4,52
153,2,52
154,2,52
155,5,52
156,3,53
157,2,53
158,5,53
159,4,53
160,5,53
161,2,54
162,3,54
163,4,54
164,4,55
165,2,55
166,4,55
167,5,55
168,3,55
169,3,56
170,5,56
171,2,57
172,3,57
173,2,57
174,2,58
175,2,59
176,5,59
177,3,59
178,3,60
179,4,60
180,3,60
181,3,61
182,3,61
183,5,61
184,5,61
185,2,61
186,4,62
187,4,63
188,2,63
189,2,63
190,3,63
191,5,63
192,4,64
193,4,64
194,1,65
195,3,65
196,1,66
197,5,66
198,2,66
199,1,66
200,2,67
201,4,67
202,3,67
203,1,67
204,4,67
205,1,68
206,4,68
207,5,68
208,2,68
209,2,68
210,4,69
211,4,69
212,4,69
213,3,69
214,4,69
215,5,70
216,4,70
217,4,70
218,2,70
219,4,71
220,3,71
221,4,71
222,2,71
223,5,72
224,5,72
225,3,72
226,3,72
227,5,72
228,3,73
229,4,74
230,3,74
231,1,74
232,2,74
233,3,75
234,1,76
235,3,76
236,2,76
237,5,76
238,3,77
239,4,77
240,4,77
241,4,77
242,3,78
243,4,78
244,4,78
245,4,79
246,4,80
247,5,81
248,4,81
249,1,81
250,3,81
251,2,82
252,3,82
253,5,82
254,3,82
255,2,82
256,4,83
257,4,83
258,1,83
259,5,83
260,1,84
261,3,84
262,5,84
263,2,84
264,4,84
265,4,85
266,2,85
267,2,86
268,3,86
269,2,86
270,2,87
271,2,87
272,1,87
273,1,87
274,2,87
275,2,88
276,5,88
277,2,89
278,2,89
279,3,89
280,5,90
281,4,90
282,2,91
283,4,91
284,4,92
285,1,93
286,4,93
287,3,93
288,3,93
289,3,93
290,4,94
291,5,94
292,4,94
293,5,94
294,4,95
295,3,95
296,4,95
297,1,95
298,1,96
299,5,97
300,3,97
301,4,97
302,1,98
303,4,98
304,3,98
305,4,99
306,4,99
307,1,99
308,2,99
309,1,100
310,4,100
311,1,100
312,4,101
313,4,101
314,5,101
315,3,101
316,2,102
317,3,102
318,2,103
319,4,104
320,2,104
321,4,104
322,5,104
323,5,105
324,4,105
325,5,105
326,4,105
327,5,106
328,2,106
329,4,106
330,1,107
331,3,107
332,3,107
333,1,108
334,1,108
335,1,108
336,3,108
337,1,109
338,4,109
339,5,109
340,1,110
341,2,111
342,1,111
343,1,112
344,2,112
345,3,113
346,5,113
347,4,113
348,1,113
349,5,113
350,5,114
351,2,114
352,3,114
353,3,114
354,3,115
355,1,115
356,2,116
357,5,117
358,1,117
359,4,118
360,3,118
361,2,118
362,2,118
363,2,119
364,3,119
365,5,119
366,2,119
367,1,120
368,1,121
369,2,121
370,4,121
371,3,121
372,1,121
373,1,122
374,4,122
375,5,122
376,4,122
377,2,123
378,5,123
379,4,123
380,5,123
381,3,124
382,2,125
383,1,125
384,4,125
385,1,125
386,5,125
387,5,126
388,2,126
389,3,126
390,1,126
391,5,127
392,4,127
393,3,127
394,3,128
395,3,128
396,1,129
397,5,130
398,3,130
399,2,130
400,2,130
401,2,131
402,3,132
403,2,132
404,5,132
405,1,132
406,5,133
407,3,133
408,1,133
409,2,133
410,3,133
411,5,134
412,4,134
413,5,134
414,1,134
415,3,135
416,5,135
417,2,136
418,2,136
419,5,136
420,4,137
421,3,137
422,4,138
423,2,138
424,4,138
425,5,139
426,4,140
427,2,140
428,3,141
429,2,141
430,5,141
431,1,142
432,1,142
433,1,142
434,1,142
435,4,142
436,1,143
437,3,143
438,5,143
439,5,143
440,5,144
441,3,144
442,2,145
443,3,145
444,5,145
445,1,145
446,4,145
447,5,146
448,5,146
449,5,147
450,4,147
451,4,147
452,5,148
453,1,149
454,1,149
455,2,150
456,5,150
457,5,151
458,3,151
459,5,151
460,1,151
461,4,151
462,4,152
463,2,152
464,5,152
465,4,152
466,3,152
467,2,153
468,5,153
469,3,154
470,4,154
471,2,154
472,2,154
473,2,154
474,1,155
475,3,155
476,5,155
477,5,156
478,2,156
479,1,156
480,4,156
481,1,156
482,1,157
483,4,157
484,5,158
485,3,158
486,3,158
487,3,159
488,1,160
489,3,160
490,3,160
491,5,161
492,3,161
493,1,161
494,3,161
495,5,162
496,2,162
497,1,162
498,5,163
499,5,163
500,1,163
501,3,163
502,5,164
503,1,165
504,1,165
505,4,165
506,3,165
507,4,165
508,1,166
509,3,166
510,4,166
511,3,166
512,1,167
513,4,168
514,1,168
515,2,168
516,2,169
517,3,169
518,2,169
519,2,169
520,5,169
521,5,170
522,5,171
523,2,171
524,4,172
525,2,172
526,4,172
527,3,172
528,1,172
529,4,173
530,3,173
531,1,174
532,3,174
533,1,174
534,5,174
535,5,174
536,1,175
537,3,175
538,4,175
539,5,176
540,2,176
541,3,176
542,5,177
543,5,178
544,1,178
545,4,179
546,4,179
547,5,179
548,3,179
549,3,180
550,2,180
551,1,181
552,1,181
553,1,181
554,2,182
555,3,182
556,3,183
557,5,183
558,5,183
559,4,183
560,4,184
561,2,184
562,5,184
563,2,184
564,1,185
565,4,185
566,1,185
567,2,185
568,3,185
569,4,186
570,1,186
571,4,186
572,5,186
573,5,187
574,2,188
575,5,188
576,5,189
577,1,189
578,1,189
579,1,189
580,1,190
581,1,190
582,4,190
583,4,190
584,3,191
585,3,191
586,5,192
587,4,192
588,1,192
589,3,192
590,3,193
591,4,194
592,1,194
593,5,194
594,1,195
595,3,195
596,2,195
597,2,196
598,3,196
599,3,197
600,1,197
601,1,197
602,4,197
603,5,197
